query_id,top_k,depth,native_seed_count,baseline_seed_count,native_mean_seed_ann_score,baseline_mean_seed_ann_score,seed_ann_score_difference,native_mean_pairwise_neighborhood_overlap,baseline_mean_pairwise_neighborhood_overlap,neighborhood_overlap_difference,native_row_count,baseline_row_count,row_count_difference,row_count_ratio,result_jaccard_overlap,shared_result_count,native_only_count,baseline_only_count,native_unique_label_count,baseline_unique_label_count,native_label_entropy,baseline_label_entropy,native_majority_label_fraction,baseline_majority_label_fraction
paper-93434-topk-1-depth-0,1,0,1,1,1.000000,0.999701,0.000299,,,,1,1,0,1.000000,0.000000,0,1,1,1,1,0.000000,0.000000,1.000000,1.000000
paper-93434-topk-1-depth-1,1,1,1,1,1.000000,0.999701,0.000299,,,,16,31,-15,0.516129,0.000000,0,16,31,1,2,0.000000,0.205593,1.000000,0.967742
paper-93434-topk-1-depth-2,1,2,1,1,1.000000,0.999701,0.000299,,,,699,747,-48,0.935743,0.016163,23,676,724,10,14,0.245136,0.912614,0.972818,0.817938
paper-93434-topk-3-depth-0,3,0,3,3,1.000000,0.984341,0.015659,0.000000,0.009009,-0.009009,3,3,0,1.000000,0.000000,0,3,3,2,1,0.918296,0.000000,0.666667,1.000000
paper-93434-topk-3-depth-1,3,1,3,3,1.000000,0.984341,0.015659,0.000000,0.009009,-0.009009,28,44,-16,0.636364,0.000000,0,28,44,2,3,0.491237,0.312220,0.892857,0.954545
paper-93434-topk-3-depth-2,3,2,3,3,1.000000,0.984341,0.015659,0.000000,0.009009,-0.009009,898,913,-15,0.983571,0.044406,77,821,836,11,16,0.458318,1.001840,0.932071,0.806134
paper-93434-topk-5-depth-0,5,0,5,5,1.000000,0.980506,0.019494,0.000000,0.014845,-0.014845,5,5,0,1.000000,0.111111,1,4,4,2,1,0.721928,0.000000,0.800000,1.000000
paper-93434-topk-5-depth-1,5,1,5,5,1.000000,0.980506,0.019494,0.000000,0.014845,-0.014845,47,139,-92,0.338129,0.113772,19,28,120,3,3,0.846523,0.317719,0.787234,0.949640
paper-93434-topk-5-depth-2,5,2,5,5,1.000000,0.980506,0.019494,0.000000,0.014845,-0.014845,1536,2200,-664,0.698182,0.535553,1303,233,897,13,18,0.637639,0.775795,0.890625,0.865455
paper-93434-topk-10-depth-0,10,0,10,10,1.000000,0.977314,0.022686,0.000000,0.006559,-0.006559,10,10,0,1.000000,0.000000,0,10,10,2,2,0.970951,0.468996,0.600000,0.900000
paper-93434-topk-10-depth-1,10,1,10,10,1.000000,0.977314,0.022686,0.000000,0.006559,-0.006559,95,252,-157,0.376984,0.020588,7,88,245,3,4,0.842531,0.445096,0.768421,0.920635
paper-93434-topk-10-depth-2,10,2,10,10,1.000000,0.977314,0.022686,0.000000,0.006559,-0.006559,3297,4010,-713,0.822195,0.388635,2045,1252,1965,19,20,0.899405,0.862592,0.812557,0.832419
paper-66941-topk-1-depth-0,1,0,1,1,1.000000,0.999531,0.000469,,,,1,1,0,1.000000,0.000000,0,1,1,1,1,0.000000,0.000000,1.000000,1.000000
paper-66941-topk-1-depth-1,1,1,1,1,1.000000,0.999531,0.000469,,,,14,6,8,2.333333,0.000000,0,14,6,4,2,1.788450,1.000000,0.428571,0.500000
